timestamp,name,attribute_name,value
2024-06-13 11:29:25.302,PJU_KIJ_II_2,rssi,-64
2024-06-13 11:29:25.303,PJU_KIJ_II_2,snr,8
2024-06-13 12:26:24.781,PJU_KIJ_II_2,rssi,-62
2024-06-13 12:26:24.786,PJU_KIJ_II_2,snr,9
2024-06-13 12:26:32.945,PJU_KIJ_II_2,rssi,-62
2024-06-13 12:26:32.946,PJU_KIJ_II_2,snr,11
2024-06-13 13:01:41.001,PJU_KIJ_II_2,snr,9
2024-06-13 13:01:41.008,PJU_KIJ_II_2,rssi,-63
2024-06-14 03:41:47.601,PJU_KIJ_II_2,snr,4
2024-06-14 03:41:47.604,PJU_KIJ_II_2,rssi,-68
2024-06-14 03:41:58.211,PJU_KIJ_II_2,snr,0
2024-06-14 03:41:58.215,PJU_KIJ_II_2,rssi,-68
2024-06-14 03:42:15.853,PJU_KIJ_II_2,snr,9
2024-06-14 03:42:15.858,PJU_KIJ_II_2,rssi,-67
2024-06-14 03:42:53.382,PJU_KIJ_II_2,snr,-2
2024-06-14 03:42:53.383,PJU_KIJ_II_2,rssi,-61
2024-06-14 03:43:03.692,PJU_KIJ_II_2,snr,6
2024-06-14 03:43:03.694,PJU_KIJ_II_2,rssi,-63
2024-06-14 03:43:30.943,PJU_KIJ_II_2,snr,11
2024-06-14 03:43:30.945,PJU_KIJ_II_2,rssi,-68
2024-06-14 03:44:06.718,PJU_KIJ_II_2,rssi,-66
2024-06-14 03:44:06.718,PJU_KIJ_II_2,snr,9
2024-06-14 03:44:18.742,PJU_KIJ_II_2,rssi,-65
2024-06-14 03:44:18.742,PJU_KIJ_II_2,snr,9
2024-06-14 03:44:30.787,PJU_KIJ_II_2,rssi,-61
2024-06-14 03:44:30.787,PJU_KIJ_II_2,snr,0
2024-06-14 03:44:43.495,PJU_KIJ_II_2,rssi,-61
2024-06-14 03:44:43.495,PJU_KIJ_II_2,snr,0
2024-06-14 04:30:21.544,PJU_KIJ_II_2,snr,9
2024-06-14 04:30:21.545,PJU_KIJ_II_2,rssi,-69
2024-06-14 04:30:29.897,PJU_KIJ_II_2,snr,8
2024-06-14 04:30:29.898,PJU_KIJ_II_2,rssi,-68
2024-06-14 05:29:26.39,PJU_KIJ_II_2,snr,9
2024-06-14 05:29:26.394,PJU_KIJ_II_2,rssi,-70
2024-06-14 05:29:30.21,PJU_KIJ_II_2,snr,12
2024-06-14 05:29:30.214,PJU_KIJ_II_2,rssi,-67
2024-06-14 09:28:36.908,PJU_KIJ_II_2,rssi,-66
2024-06-14 09:28:36.908,PJU_KIJ_II_2,snr,9
2024-06-14 09:28:45.128,PJU_KIJ_II_2,rssi,-67
2024-06-14 09:28:45.128,PJU_KIJ_II_2,snr,11
2024-06-15 09:22:10.805,PJU_KIJ_II_2,rssi,-62
2024-06-15 09:22:10.847,PJU_KIJ_II_2,snr,11
2024-06-15 09:22:50.915,PJU_KIJ_II_2,rssi,-60
2024-06-15 09:22:50.918,PJU_KIJ_II_2,snr,3
2024-06-15 09:23:01.144,PJU_KIJ_II_2,rssi,-62
2024-06-15 09:23:01.147,PJU_KIJ_II_2,snr,8
2024-06-15 09:23:46.425,PJU_KIJ_II_2,rssi,-61
2024-06-15 09:23:46.427,PJU_KIJ_II_2,snr,8
2024-06-15 09:23:54.776,PJU_KIJ_II_2,rssi,-62
2024-06-15 09:23:54.779,PJU_KIJ_II_2,snr,11
2024-06-15 10:24:38.977,PJU_KIJ_II_2,rssi,-62
2024-06-15 10:24:38.983,PJU_KIJ_II_2,snr,8
2024-06-15 10:24:47.37,PJU_KIJ_II_2,rssi,-61
2024-06-15 10:24:47.372,PJU_KIJ_II_2,snr,11
2024-06-15 10:33:32.469,PJU_KIJ_II_2,rssi,-64
2024-06-15 10:33:32.474,PJU_KIJ_II_2,snr,5
2024-06-15 10:35:38.162,PJU_KIJ_II_2,rssi,-62
2024-06-15 10:35:38.165,PJU_KIJ_II_2,snr,9
